Province,State,State Code,Latitude,Longitude,Tests,Days Since 1st Case,Total cases (4/14/2020),Deaths (4/14/2020),Population (for demographic %'s),% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,Population Density per Square mile of Land (2010),Housing Density Per Square Mile of Land,Avg Daily March 2011 Sunlight (KJ/m²) Missing HI and AK,GDP 2018,GDP/capita,"Percentage Living in Poverty, All Ages, 2016","Air Quality, Annual Average Ambient Concentrations of PM2.5, 2014",Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Inequality Ratio (80th%/20th%),% Single-Parent Households,Social Association Rate,Violent Crime Rate,Air pollution: Average Daily PM2.5,Presence of Drinking Water Violation,% Severe Housing Problems,Housing: Severe Cost Burden,Housing: Overcrowding,Housing: Inadequate Facilities,% Drive Alone to Work,% Long Commute - Drives Alone,Sleep <7 Hours_Percent,Sleep <7 Hours_CI_Low,Sleep <7 Hours_CI_High,Diabetes Total Percentage,Diabetes Male Percentage,Diabetes Female Percentage,"Coronary Heart Disease Death Rate per 100,000, All Ages, All Races/Ethnicities, Both Genders, 2014-2016","Hypertension Death Rate per 100,000 (any mention), 35+, All Races/Ethnicities, Both Genders, 2014-2016","Obesity, Age-Adjusted Percentage, 20+. 2015",% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Smokers (adults),% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Uninsured,Preventable Hospitalization Rate (Preventable hospital stays),% With Annual Mammogram,% Flu Vaccinated,Chronic Respiratory Disease: mortality rate per 100K (2014),Liver Disease: crude mortality rate per 100K (1999-2018),Liver Disease: % of Total Deaths (1999-2018),Liver Disease: crude mortality rate per 100K (2018),Liver Disease: % of Total Deaths (2018),Avg Temp Peak Growth-10 Rate,Avg Temp 10 Before First-Current,Avg Temp First-Current,First Case,Stay At Home,No Cases,No Stay At Home Order,Stay At Home Order After First Case
Autauga,Alabama,AL,32.53953,-86.6441,"33,835",22,23,1,55601,23.6740346,15.5626697,19.3431773,0.48020719,1.22479812,0.11150879,2.965774,74.308016,0.8202245,51.448715,42.0021623,91.8,37.2,18449.72,"1,483,414",,13.5,11.7,2220:01:00,3089:01:00,4277:01:00,90,62.0099737,3.62907886,19.3,5.23459727,26.2426791,12.0712021,272.28222,11.7,No,14.6634615,12.8267183,1.20192308,1.34615385,86.5236614,39.6,35.9054061,34.9739356,36.8482271,9.9,10.1,9.8,112.7,241.4,37.6,20.8829873,4.74388887,4.6540314,8.61952862,18.0815572,33.3,7.2,34.7,69.1301241,15.0260313,8.72168595,7108,41,41,81.79,15.8056008,0.00019062,Unreliable,0.00017883,20.52857143,19.95,19.34545455,3/24/20,4/4/20,0,0,1
Baldwin,Alabama,AL,30.72775,-87.7221,"33,835",31,87,2,218022,21.6079111,20.4433498,8.78397593,0.77239912,1.15034263,0.067,4.64677877,83.1113374,0.54351698,51.5383769,42.2790991,114.6,65.5,18855.39,"5,774,289",,11.7,10.3,1372:01:00,2019:01:00,1038:01:00,86.3615768,67.3716198,3.61538216,13.9,4.41776668,24.1396015,10.2056173,203.660396,10.3,No,13.5662009,12.277388,1.27079175,0.47904192,84.2824327,41.7,33.3058681,32.4883765,34.0777925,8.5,8.8,8.4,108,171.5,31.3,17.5091344,4.2245192,4.30405647,8.34500318,17.4890326,31,8,26.5,73.713549,17.9583101,11.3334045,4041,43,44,54.28,19.8027477,0.00081863,27.5201585,0.001073,22.06538462,20.87317073,21.8,3/15/20,4/4/20,0,0,1
Barbour,Alabama,AL,31.86826,-85.3871,"33,835",12,11,0,24881,20.8673285,19.4204413,48.0326353,0.6591375,0.45416181,0.18488003,4.27635545,45.6412524,1.63168252,47.2167517,67.7896347,31,13.4,18611.37,"787,425",,29.9,11.5,3159:01:00,2765:01:00,12441:1,81.4102564,34.8576486,5.17138421,43.9,5.68141002,56.603426,7.51879699,414.277861,11.5,No,14.5833333,13.445946,1.68859649,0.60307018,83.3684704,32.2,38.5631671,37.6954408,39.5008894,15.7,16.1,15.4,63,192.5,44.7,29.5918017,5.43027886,5.18559441,11.4745587,21.9999845,41.7,5.6,23.5,53.1667699,12.8440156,12.2427925,6209,45,37,69.82,12.9148204,8.30E-05,NA,NA,18.47272727,18.08181818,17.025,4/3/20,4/4/20,0,0,1
Bibb,Alabama,AL,32.99642,-87.1251,"33,835",16,17,0,22400,20.4776786,16.4732143,21.1205357,0.4375,0.23660714,0.11607143,2.625,74.5892857,0.26821005,46.78125,68.3526075,36.8,14.4,18234.91,"364,197",,20.1,11.2,2061:01:00,4480:01:00,4480:01:00,83.7638376,44.1373534,3.97182773,27.8,4.36858051,28.6892361,8.38185989,89.349126,11.2,No,10.4964539,9.97827661,0.25531915,0.70921986,84.9106469,49.8,38.1488654,37.1308661,39.1944363,13.3,14.5,12.2,63.8,142.2,37.9,19.4397242,4.59148244,4.55169885,10.30871,19.1141999,37.6,7.8,33.5,16.2513637,15.5700424,10.2062526,5961,40,38,84.49,13.5578514,7.02E-05,NA,NA,18.35384615,17.67692308,16.025,3/30/20,4/4/20,0,0,1
Blount,Alabama,AL,33.98211,-86.5679,"33,835",21,16,0,57840,23.153527,18.2365145,1.4626556,0.65352697,0.31984786,0.12102351,9.57123098,86.8862379,1.72451994,50.7261411,89.951502,88.9,37,17239.34,"849,114",,14.1,11.7,4463:01:00,5258:01:00,6427:01:00,93.4687954,53.3610733,3.51115732,18,4.43026233,28.561828,8.44638271,482.690611,11.7,No,10.5480116,7.85144566,1.8913676,1.09117362,86.178362,59.4,35.9450104,34.7792639,37.0725976,14.9,17,12.9,96.5,97.4,34.6,21.7452928,4.86080763,4.89145467,7.60456274,19.208672,33.8,8.4,30.3,15.6344859,14.2305938,13.3607595,4060,34,39,87.05,14.2776454,0.00018594,NA,NA,18.195,17.77741935,17.47142857,3/25/20,4/4/20,0,0,1
Bullock,Alabama,AL,32.10031,-85.7127,"33,835",20,8,0,10138,21.0791083,16.3839022,69.5403433,0.83842967,0.18741369,0.74965476,7.96014993,21.2172026,0.44075441,45.4823437,51.3743815,17.5,7.2,18713.82,"244,183",,32.6,11.2,3436:01:00,5069:01:00,5069:01:00,70.2479339,34.9760942,4.69011725,68.3,7.41019599,74.789916,7.76020953,311.027333,11.2,No,18.1434599,15.2104499,0.11251758,3.09423347,79.0609137,46,45.0206359,43.9035119,46.1942267,22.4,22.1,22.6,72.7,279,39.3,30.9991019,5.35915934,4.89135104,15.6884876,22.894664,37.2,4.3,24.6,2.50137438,12.0941012,11.4403761,6632,35,28,51.49,14.676812,3.74E-05,NA,NA,20.28333333,19.76,18.88,3/26/20,4/4/20,0,0,1
Butler,Alabama,AL,31.753,-86.6806,"33,835",21,8,0,19680,22.245935,20.2997968,44.5579268,0.37601626,1.31605691,0.0508,1.50914634,51.2550813,0.49415515,53.4298781,71.2321574,27,12.8,18838.24,"570,686",,24.8,10.6,3965:01:00,3280:01:00,1968:01:00,81.5899582,41.6787565,4.79021764,36.3,5.42359558,52.7128364,9.07944515,581.584005,10.6,Yes,13.1596091,11.6923077,1.69381108,0.39087948,83.8331832,32.3,41.9110839,40.9727211,42.8833724,16.9,17.7,16.4,108,323.2,40.9,27.9106732,5.4008062,5.3407502,12.6802885,21.765335,43.3,6.6,39.5,48.5797489,11.8574034,11.1860095,9203,42,35,75.09,18.6383815,9.00E-05,NA,NA,18.38571429,19.85483871,19.14761905,3/25/20,4/4/20,0,0,1
Calhoun,Alabama,AL,33.77484,-85.8263,"33,835",28,62,0,114277,21.6097728,17.717476,20.8502148,0.53991617,0.96432353,0.11025841,3.91067319,72.0249919,0.99137613,51.9465859,33.6968256,195.7,88,17372.81,"3,950,436",,17.1,11.8,1572:01:00,1706:01:00,866:01:00,92.3680457,59.2439886,4.65283216,26.5,5.02389645,40.1919448,14.469005,756.066544,11.8,No,13.7341913,11.8249325,1.54204571,0.8431329,84.8092137,31.2,41.314344,40.4621946,42.1407375,15.6,16.7,14.7,138.9,56.7,37.3,23.1077332,4.88037674,4.81607229,9.16137367,20.6125604,38.5,6.9,31.7,47.7212158,13.8422302,11.9291675,6581,32,38,87.32,21.0550718,0.00056719,33.2525355,0.00067957,17.95,16.19736842,16.46428571,3/18/20,4/4/20,0,0,1
Chambers,Alabama,AL,32.9136,-85.3907,"33,835",27,216,10,33615,20.800238,19.5210472,39.5656701,0.30641083,1.32678864,0.0446,2.56135654,55.2312956,0.11293763,52.1255392,49.1480345,57.4,28.5,18293.61,"1,941,217",,19.9,11.4,2408:01:00,5603:01:00,16808:1,86.2385321,48.460334,3.90809112,30.7,4.74493214,46.5554437,17.7972889,528.999736,11.4,No,15.9566787,12.3770795,4.03610108,0.93862816,85.252848,31.8,37.2665748,36.386735,38.2440596,17.5,18.3,16.7,72.5,298.9,40.8,23.9954736,4.94117836,4.87358077,12.2137405,19.3929271,40.1,6.4,30.1,61.8646792,12.7457346,11.9380768,5622,38,42,84,27.5759056,0.00022454,NA,NA,19.49583333,18.5,18.37037037,3/19/20,4/4/20,0,0,1
Cherokee,Alabama,AL,34.17806,-85.6064,"33,835",21,9,0,26032,19.1687154,22.9717271,4.24093424,0.66072526,0.33804548,0.0307,1.62108175,91.6564229,0.40163901,50.4609711,85.736273,46.9,29.4,16656.25,"498,013",,16.8,11.4,2586:01:00,6508:01:00,5206:01:00,94.9044586,51.8362101,3.57081397,24.7,4.70846503,23.7787493,8.5083343,330.438792,11.4,No,13,11.1520737,1.5,0.5,83.1144659,46.1,35.3550708,34.1050258,36.540064,12.2,13.7,10.7,110.9,109.6,36.9,20.6984706,4.7756141,4.71127042,8.27250608,17.4986738,35,8.3,31.3,33.4295279,14.1065629,11.1726499,5521,36,41,93.04,22.8807675,0.00013566,NA,NA,15.11176471,14.66774194,14.92857143,3/25/20,4/4/20,0,0,1
